category,period,amount,actual_roi
MISSOURI,2004-01,22038965,1.190516160808822
MISSOURI,2012-01,31621603,0.9686191430586235
MISSOURI,2013-01,31046734,1.1539563871678096
MISSOURI,2014-01,31544025,1.2212035401316097
MISSOURI,2015-01,32251224,1.0560297494445483
MISSOURI,2016-01,32964751,1.004624424434451
MISSOURI,2017-01,34107666,1.1812794812755585
MISSOURI,2018-01,34968687,1.1675614529078544
MISSOURI,2019-01,35295498,1.1196486872065101
MONTANA,1992-01,2459779,1.1161490524148714
MONTANA,1993-01,2663089,1.1350274061437677
MONTANA,1994-01,2777675,1.1398558146651425
MONTANA,1995-01,2987807,1.1020367112065805
MONTANA,1996-01,3136205,1.0938095564543773
MONTANA,1997-01,3203897,1.0998518366851369
MONTANA,1998-01,3262167,1.1114896938139587
MONTANA,1999-01,3511965,1.0607511749120506
MONTANA,2000-01,3718168,1.130749605719806
MONTANA,2001-01,4048049,1.0435543146834438
MONTANA,2002-01,4265076,0.9456291048506521
MONTANA,2003-01,4436890,1.0385918965762053
MONTANA,2004-01,4691318,1.140193011857222
MONTANA,2012-01,6362612,1.0745671746131935
MONTANA,2013-01,6477930,1.225074985373414
MONTANA,2014-01,6637771,1.2550065375861867
MONTANA,2015-01,6733629,1.1036595571273677
MONTANA,2016-01,7020952,1.004550949785727
MONTANA,2017-01,7791483,1.154119183729208
MONTANA,2018-01,7849765,1.4254010151896266
MONTANA,2019-01,8033903,1.129028692529646
NEBRASKA,1992-01,3623768,1.0355538765174812
NEBRASKA,1993-01,3822975,1.0175931048463567
NEBRASKA,1994-01,3990927,1.1141178478082912
NEBRASKA,1995-01,4250378,1.0856984955220452
NEBRASKA,1996-01,4489725,1.1134107322831577
NEBRASKA,1997-01,4801745,1.1531913918794106
NEBRASKA,1998-01,4753513,1.185585481726883
NEBRASKA,1999-01,5183613,1.0756078819927337
NEBRASKA,2000-01,5772418,1.0714716086049207
